Template,TemplateID
[C:2]-[CH;D3;+0:1](-[C:3])-[O;H0;D2;+0:6]-[C:5]=[O;D1;H0:4]>>O-[CH;D3;+0:1](-[C:2])-[C:3].[O;D1;H0:4]=[C:5]-[OH;D1;+0:6],1878
[#8;a:5]:[c:4]:[c:3]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[NH;D2;+0:6]-[c:7]>>O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3]:[c:4]:[#8;a:5].[NH2;D1;+0:6]-[c:7],1879
[#7;a:5]:[c:6]:[c:7]-[O;H0;D2;+0:8]-[CH2;D2;+0:1]-[c:2](:[#7;a:3]):[#8;a:4]>>Cl-[CH2;D2;+0:1]-[c:2](:[#7;a:3]):[#8;a:4].[#7;a:5]:[c:6]:[c:7]-[OH;D1;+0:8],1880
[C:5]-[N;H0;D3;+0:6](-[c:7])-[C;H0;D3;+0:1](=[O;D1;H0:2])-[C:3]=[C;D1;H2:4]>>Cl-[C;H0;D3;+0:1](=[O;D1;H0:2])-[C:3]=[C;D1;H2:4].[C:5]-[NH;D2;+0:6]-[c:7],1881
[C:7]-[O;H0;D2;+0:8]-[c;H0;D3;+0:1]1:[c:2]:[c:3]:[#7;a:4]:[c:5]:[c:6]:1>>I-[c;H0;D3;+0:1]1:[c:2]:[c:3]:[#7;a:4]:[c:5]:[c:6]:1.[C:7]-[O-;H0;D1:8],1882
[#7;a:3]:[#7;a:2]:[c;H0;D3;+0:1](-[O;H0;D2;+0:7]-[C:6]):[c:4]:[#7;a:5]>>Cl-[c;H0;D3;+0:1](:[#7;a:2]:[#7;a:3]):[c:4]:[#7;a:5].[C:6]-[OH;D1;+0:7],1883
[c:1]:[c;H0;D3;+0:2](:[c:3])-[CH;D3;+0:4]1-[CH2;D2;+0:5]-[CH2;D2;+0:6]-[NH;D2;+0:7]-[CH2;D2;+0:8]-[CH2;D2;+0:9]-1>>[c:1]:[c;H0;D3;+0:2](:[c:3])-[c;H0;D3;+0:4]1:[cH;D2;+0:5]:[cH;D2;+0:6]:[n;H0;D2;+0:7]:[cH;D2;+0:8]:[cH;D2;+0:9]:1,1884
[c:4]/[N;H0;D2;+0:3]=[CH;D2;+0:1]/[c:2]>>O=[CH;D2;+0:1]-[c:2].[NH2;D1;+0:3]-[c:4],1885
[#16;a:5]:[c:6](:[#7;a:7]:[#7;a:8])-[N;H0;D3;+0:9](-[C:10])-[S;H0;D4;+0:1](=[O;D1;H0:2])(=[O;D1;H0:3])-[c:4]>>Cl-[S;H0;D4;+0:1](=[O;D1;H0:2])(=[O;D1;H0:3])-[c:4].[#16;a:5]:[c:6](:[#7;a:7]:[#7;a:8])-[NH;D2;+0:9]-[C:10],1886
[#7;a:3]:[c:2]-[OH;D1;+0:1]>>C-[O;H0;D2;+0:1]-[c:2]:[#7;a:3],1887
[#16;a:4]:[c:5]:[c:6]-[N;H0;D3;+0:7](-[C:8])-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3]>>Cl-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3].[#16;a:4]:[c:5]:[c:6]-[NH;D2;+0:7]-[C:8],1888
[#7:4]=[C:3]-[C;H0;D3;+0:1](-[c:2])=[N;H0;D2;+0:5]-[#7:6]-[C:7]=[S;D1;H0:8]>>O=[C;H0;D3;+0:1](-[c:2])-[C:3]=[#7:4].[NH2;D1;+0:5]-[#7:6]-[C:7]=[S;D1;H0:8],1889
[C;D1;H3:3]-[N;H0;D3;+0:4](-[C;D1;H3:5])-[CH2;D2;+0:1]-[c:2]>>Br-[CH2;D2;+0:1]-[c:2].[C;D1;H3:3]-[NH;D2;+0:4]-[C;D1;H3:5],1890
[#7;a:2]:[c;H0;D3;+0:1](:[#7;a:3]:[c:4]:[#7;a:5])-[NH;D2;+0:7]-[C:6]>>Cl-[c;H0;D3;+0:1](:[#7;a:2]):[#7;a:3]:[c:4]:[#7;a:5].[C:6]-[NH2;D1;+0:7],1891
[C:2]-[CH2;D2;+0:1]-[C:3]>>O-[CH;D3;+0:1](-[C:2])-[C:3],1892
[#8:1]-[C:2](=[O;D1;H0:3])-[C;H0;D4;+0:4](-[OH;D1;+0:5])(-[CH2;D2;+0:9]-[C:10]=[O;D1;H0:11])-[C:6](-[#8:7])=[O;D1;H0:8]>>[#8:1]-[C:2](=[O;D1;H0:3])-[C;H0;D3;+0:4](=[O;H0;D1;+0:5])-[C:6](-[#8:7])=[O;D1;H0:8].[CH3;D1;+0:9]-[C:10]=[O;D1;H0:11],1893
[C:2]-[CH;D3;+0:1](-[c:3])-[S;H0;D2;+0:5]-[C;D1;H3:4]>>Br-[CH;D3;+0:1](-[C:2])-[c:3].[C;D1;H3:4]-[S-;H0;D1:5],1894
[N;D1;H0:3]#[C:2]-[CH2;D2;+0:1]-[O;H0;D2;+0:4]-[c:5]>>Br-[CH2;D2;+0:1]-[C:2]#[N;D1;H0:3].[OH;D1;+0:4]-[c:5],1895
[N;D1;H0:5]#[C;H0;D2;+0:4]-[c;H0;D3;+0:1](:[c:2]):[c:3]>>I-[c;H0;D3;+0:1](:[c:2]):[c:3].[Cu]-[C;H0;D2;+0:4]#[N;D1;H0:5],1896
[#7;a:7]:[c:8]:[c:9]-[NH;D2;+0:10]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3](:[#7;a:4]):[c:5]:[#8;a:6]>>O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3](:[#7;a:4]):[c:5]:[#8;a:6].[#7;a:7]:[c:8]:[c:9]-[NH2;D1;+0:10],1897
[N;D1;H2:3]-[C:2](=[O;D1;H0:4])-[CH2;D2;+0:1]-[S;H0;D2;+0:5]-[c:6]>>Br-[CH2;D2;+0:1]-[C:2](-[N;D1;H2:3])=[O;D1;H0:4].[SH;D1;+0:5]-[c:6],1898
[#7;a:4]:[c:5]:[c:6]-[NH;D2;+0:7]-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3]>>O-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].[#7;a:4]:[c:5]:[c:6]-[NH2;D1;+0:7],1899
[#8:4]-[N;H0;D3;+0:5](-[C;D1;H3:6])-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3]>>C-C-O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3].[#8:4]-[NH;D2;+0:5]-[C;D1;H3:6],1900
[#7;a:2]:[c;H0;D3;+0:1](-[NH2;D1;+0:7]):[c:3](:[#7;a:4]):[c:5]:[#7;a:6]>>Cl-[c;H0;D3;+0:1](:[#7;a:2]):[c:3](:[#7;a:4]):[c:5]:[#7;a:6].[NH3;D0;+0:7],1901
[C:7]#[C;H0;D2;+0:8]-[c;H0;D3;+0:1]1:[#7;a:2]:[c:3]:[#7;a:4]:[c:5]:[c:6]:1>>Cl-[c;H0;D3;+0:1]1:[#7;a:2]:[c:3]:[#7;a:4]:[c:5]:[c:6]:1.[C:7]#[CH;D1;+0:8],1902
[O;D1;H0:5]=[C:4]1-[#7:3]-[C:2]-[CH2;D2;+0:1]-[N;H0;D3;+0:6]-1-[c:7]>>Cl-[CH2;D2;+0:1]-[C:2]-[#7:3]-[C:4](=[O;D1;H0:5])-[NH;D2;+0:6]-[c:7],1903
[#8:1]-[C:2](=[O;D1;H0:3])-[C:4]-[CH;D3;+0:5](-[OH;D1;+0:6])-[c:7]>>[#8:1]-[C:2](=[O;D1;H0:3])-[C:4]-[C;H0;D3;+0:5](=[O;H0;D1;+0:6])-[c:7],1904
[#7;a:7]:[c:6]:[c;H0;D3;+0:5](:[c:8]:[#7;a:9])-[c;H0;D3;+0:1](:[#7;a:2]):[c:3]:[#7;a:4]>>Br-[c;H0;D3;+0:1](:[#7;a:2]):[c:3]:[#7;a:4].C-C1(-C)-O-B(-[c;H0;D3;+0:5](:[c:6]:[#7;a:7]):[c:8]:[#7;a:9])-O-C-1(-C)-C,1905
[#7;a:3]:[c;H0;D3;+0:2](:[c:4])-[c;H0;D3;+0:1]1:[n;H0;D2;+0:5]:[c:6]:[c:7]:[nH;D2;+0:8]:1>>O-[C;H0;D3;+0:1](=O)-[c;H0;D3;+0:2](:[#7;a:3]):[c:4].[NH2;D1;+0:5]-[c:6]:[c:7]-[NH2;D1;+0:8],1906
[#16;a:2]:[c;H0;D3;+0:1](:[c:3])-[c;H0;D3;+0:4](:[#7;a:5]):[c:6]>>C-C1(-C)-O-B(-[c;H0;D3;+0:1](:[#16;a:2]):[c:3])-O-C-1(-C)-C.Cl-[c;H0;D3;+0:4](:[#7;a:5]):[c:6],1907
[C:4]-[S;H0;D2;+0:5]-[c;H0;D3;+0:1](:[c:2]):[c:3]>>F-[c;H0;D3;+0:1](:[c:2]):[c:3].[C:4]-[SH;D1;+0:5],1908
[N;D1;H2:3]-[C:2](=[O;D1;H0:4])-[CH2;D2;+0:1]-[O;H0;D2;+0:5]-[c:6]>>I-[CH2;D2;+0:1]-[C:2](-[N;D1;H2:3])=[O;D1;H0:4].[OH;D1;+0:5]-[c:6],1909
[#7;a:4]:[c:3]:[c;H0;D3;+0:1](:[c:2])-[c;H0;D3;+0:5](:[c:6]):[c:7]>>Cl-[c;H0;D3;+0:1](:[c:2]):[c:3]:[#7;a:4].O-B(-O)-[c;H0;D3;+0:5](:[c:6]):[c:7],1910
[#7;a:4]:[c:3]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[N;H0;D3;+0:6](-[C;D1;H3:5])-[C;D1;H3:7]>>O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3]:[#7;a:4].[C;D1;H3:5]-[NH;D2;+0:6]-[C;D1;H3:7],1911
[#7;a:5]:[c:4]:[c:3](-[C;H0;D2;+0:1]#[N;H0;D1;+0:2]):[c:6]:[#7;a:7]>>O=[C;H0;D3;+0:1](-[NH2;D1;+0:2])-[c:3](:[c:4]:[#7;a:5]):[c:6]:[#7;a:7],1912
[#16:4]-[C:5]-[N;H0;D3;+0:6](-[C:7])-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3]>>O-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].[#16:4]-[C:5]-[NH;D2;+0:6]-[C:7],1913
[#7;a:7]:[c:6]:[c:5]:[c;H0;D3;+0:4](:[c:8]:[#7;a:9])-[c;H0;D3;+0:1](:[c:2]):[c:3]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3].C-C1(-C)-O-B(-[c;H0;D3;+0:4](:[c:5]:[c:6]:[#7;a:7]):[c:8]:[#7;a:9])-O-C-1(-C)-C,1914
[#7;a:3]:[c:2]-[CH2;D2;+0:1]-[NH;D2;+0:8]-[C:7]-[C:5](-[#8:4])=[O;D1;H0:6]>>O=[CH;D2;+0:1]-[c:2]:[#7;a:3].[#8:4]-[C:5](=[O;D1;H0:6])-[C:7]-[NH2;D1;+0:8],1915
[C:4]-[N;H0;D3;+0:5](-[C;D1;H3:6])-[C;H0;D3;+0:1](-[C;D1;H3:2])=[O;D1;H0:3]>>O-[C;H0;D3;+0:1](-[C;D1;H3:2])=[O;D1;H0:3].[C:4]-[NH;D2;+0:5]-[C;D1;H3:6],1916
[#8:4]-[C:5](=[O;D1;H0:6])-[CH;D3;+0:7](-[C:8])-[NH;D2;+0:9]-[CH;D3;+0:1](-[C:2])-[C:3]>>O=[C;H0;D3;+0:1](-[C:2])-[C:3].[#8:4]-[C:5](=[O;D1;H0:6])-[C@H;D3;+0:7](-[C:8])-[NH2;D1;+0:9],1917
[#7;a:5]:[c:4]:[#16;a:3]:[c;H0;D3;+0:1](:[c:2])-[c;H0;D3;+0:6](:[c:7]):[c:8]>>I-[c;H0;D3;+0:1](:[c:2]):[#16;a:3]:[c:4]:[#7;a:5].O-B(-O)-[c;H0;D3;+0:6](:[c:7]):[c:8],1918
[Cl;D1;H0:2]-[C;H0;D3;+0:1](=[O;D1;H0:3])-[O;H0;D2;+0:4]-[c:5]>>Cl-[C;H0;D3;+0:1](-[Cl;D1;H0:2])=[O;D1;H0:3].[OH;D1;+0:4]-[c:5],1919
[C;D1;H3:7]-[NH;D2;+0:8]-[c;H0;D3;+0:1]1:[c:2]:[#7;a:3]:[#7;a:4]:[c:5]:[c:6]:1>>Br-[c;H0;D3;+0:1]1:[c:2]:[#7;a:3]:[#7;a:4]:[c:5]:[c:6]:1.[C;D1;H3:7]-[NH2;D1;+0:8],1920
[#7:5]-[C:4](=[O;D1;H0:6])-[C:3]-[NH;D2;+0:1]-[C;D1;H3:2]>>F-C(-F)(-F)-C(=O)-[N;H0;D3;+0:1](-[C;D1;H3:2])-[C:3]-[C:4](-[#7:5])=[O;D1;H0:6],1921
[#8:4]-[C:5](=[O;D1;H0:6])-[N;H0;D3;+0:7](-[C:8])-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3]>>O-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].[#8:4]-[C:5](=[O;D1;H0:6])-[NH;D2;+0:7]-[C:8],1922
[#8:3]-[C:2](=[O;D1;H0:4])-[CH;D2;+0:1]=[C;H0;D3;+0:5](-[C:6])-[C:7]>>C-C-O-P(=O)(-O-C-C)-[CH2;D2;+0:1]-[C:2](-[#8:3])=[O;D1;H0:4].O=[C;H0;D3;+0:5](-[C:6])-[C:7],1923
[#7;a:3]:[c:4]:[n;H0;D3;+0:5](:[c:6])-[CH2;D2;+0:1]-[#8:2]>>Cl-[CH2;D2;+0:1]-[#8:2].[#7;a:3]:[c:4]:[nH;D2;+0:5]:[c:6],1924
[#7;a:6]:[c:7]-[NH;D2;+0:8]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3]:[#7;a:4]:[#7;a:5]>>O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3]:[#7;a:4]:[#7;a:5].[#7;a:6]:[c:7]-[NH2;D1;+0:8],1925
[C:2]-[C;H0;D3;+0:1](=[O;D1;H0:3])-[N;H0;D3;+0:5](-[c:4])-[c:6]>>Cl-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].[c:4]-[NH;D2;+0:5]-[c:6],1926
[#16:4]-[CH;D3;+0:3]1-[C;H0;D3;+0:1](=[O;D1;H0:2])-[NH;D2;+0:5]-[c:6]:[c;H0;D3;+0:7]-1:[c:8]>>C-O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[CH2;D2;+0:3]-[#16:4].[NH2;D1;+0:5]-[c:6]:[cH;D2;+0:7]:[c:8],1927
[#8;a:5]:[c:4]:[c:3]:[c;H0;D3;+0:1](:[c:2])-[N;H0;D3;+0:7](-[C:6])-[C:8]=[O;D1;H0:9]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3]:[c:4]:[#8;a:5].[C:6]-[NH;D2;+0:7]-[C:8]=[O;D1;H0:9],1928
[#7;a:1]:[c:2](:[#7;a:3]):[c:4]-[OH;D1;+0:5]>>[#7;a:1]:[c:2](:[#7;a:3]):[c:4]-[O;H0;D2;+0:5]-C-c1:c:c:c:c:c:1,1929
[c:7]:[c;H0;D3;+0:6](:[c:8])-[c;H0;D3;+0:1]1:[#16;a:2]:[c:3]:[#7;a:4]:[c:5]:1>>Br-[c;H0;D3;+0:1]1:[#16;a:2]:[c:3]:[#7;a:4]:[c:5]:1.C-C1(-C)-O-B(-[c;H0;D3;+0:6](:[c:7]):[c:8])-O-C-1(-C)-C,1930
[#7;a:4]:[c:3]:[c;H0;D3;+0:1](:[c:2])-[N;H0;D3;+0:6](-[C:5])-[C:7]>>F-C(-F)(-F)-S(=O)(=O)-O-[c;H0;D3;+0:1](:[c:2]):[c:3]:[#7;a:4].[C:5]-[NH;D2;+0:6]-[C:7],1931
[#7;a:2]:[c;H0;D3;+0:1](:[c:3]:[#7;a:4])-[N;H0;D3;+0:6](-[C:5])-[c:7]>>Cl-[c;H0;D3;+0:1](:[#7;a:2]):[c:3]:[#7;a:4].[C:5]-[NH;D2;+0:6]-[c:7],1932
[c:4]:[n;H0;D3;+0:5](:[c:6])-[c;H0;D3;+0:1](:[c:2]):[c:3]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3].[c:4]:[nH;D2;+0:5]:[c:6],1933
[#8;a:1]:[c:2]-[CH;D3;+0:3](-[C;D1;H3:4])-[OH;D1;+0:5]>>[#8;a:1]:[c:2]-[C;H0;D3;+0:3](-[C;D1;H3:4])=[O;H0;D1;+0:5],1934
[C;D1;H3:7]-[O;H0;D2;+0:8]-[c;H0;D3;+0:1]1:[#7;a:2]:[c:3]:[#7;a:4]:[c:5]:[c:6]:1>>Cl-[c;H0;D3;+0:1]1:[#7;a:2]:[c:3]:[#7;a:4]:[c:5]:[c:6]:1.[C;D1;H3:7]-[O-;H0;D1:8],1935
[#7;a:2]:[c;H0;D3;+0:1](:[#7;a:3])-[NH;D2;+0:5]-[C:4]>>F-[c;H0;D3;+0:1](:[#7;a:2]):[#7;a:3].[C:4]-[NH2;D1;+0:5],1936
[NH2;D1;+0:1]-[C@H;D3;+0:2]1-[C:3]-[#7:4]-[C:5]-1=[O;D1;H0:6]>>O=C(-O-C-c1:c:c:c:c:c:1)-[NH;D2;+0:1]-[CH;D3;+0:2]1-[C:3]-[#7:4]-[C:5]-1=[O;D1;H0:6],1937
[C;D1;H3:3]-[C:4](-[C;D1;H3:5])(-[C;D1;H3:6])-[#8:7]-[C:8](=[O;D1;H0:9])-[N;H0;D3;+0:10](-[c:11])-[CH2;D2;+0:1]-[c:2]>>Br-[CH2;D2;+0:1]-[c:2].[C;D1;H3:3]-[C:4](-[C;D1;H3:5])(-[C;D1;H3:6])-[#8:7]-[C:8](=[O;D1;H0:9])-[NH;D2;+0:10]-[c:11],1938
[#7:2]-[C:3](=[O;D1;H0:5])-[NH;D2;+0:4]-[CH3;D1;+0:1]>>O-[CH3;D1;+0:1].[#7:2]-[C:3](-[NH2;D1;+0:4])=[O;D1;H0:5],1939
[#7;a:2]:[c;H0;D3;+0:1](-[O;H0;D2;+0:7]-[C:6]):[c:3]:[c:4]:[#7;a:5]>>Cl-[c;H0;D3;+0:1](:[#7;a:2]):[c:3]:[c:4]:[#7;a:5].[C:6]-[OH;D1;+0:7],1940
[#7;a:3]:[c:2](:[#8;a:4])-[CH2;D2;+0:1]-[N;H0;D3;+0:6](-[C:5])-[C:7]>>Cl-[CH2;D2;+0:1]-[c:2](:[#7;a:3]):[#8;a:4].[C:5]-[NH;D2;+0:6]-[C:7],1941
[C:2]-[CH;D2;+0:1]=[N;H0;D2;+0:3]-[O;D1;H1:4]>>O=[CH;D2;+0:1]-[C:2].[NH2;D1;+0:3]-[O;D1;H1:4],1942
[#8:4]-[C:3](=[O;D1;H0:5])-[C;H0;D3;+0:1](-[c:2])=[CH;D2;+0:8]-[c:7]:[#8;a:6]>>O=[C;H0;D3;+0:1](-[c:2])-[C:3](-[#8:4])=[O;D1;H0:5].[#8;a:6]:[c:7]-[CH2;D2;+0:8]-[P+](-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,1943
[#16;a:6]:[c:5]:[c:4]-[S;H0;D4;+0:1](=[O;D1;H0:2])(=[O;D1;H0:3])-[N;H0;D3;+0:8](-[C:7])-[C;D1;H3:9]>>Cl-[S;H0;D4;+0:1](=[O;D1;H0:2])(=[O;D1;H0:3])-[c:4]:[c:5]:[#16;a:6].[C:7]-[NH;D2;+0:8]-[C;D1;H3:9],1944
[C:2]-[N;H0;D3;+0:3](-[CH3;D1;+0:1])-[C:4](=[O;D1;H0:5])-[C:6]=[C:7]>>I-[CH3;D1;+0:1].[C:2]-[NH;D2;+0:3]-[C:4](=[O;D1;H0:5])-[C:6]=[C:7],1945
[#7;a:3]:[c:4]:[n;H0;D3;+0:5](:[c:6])-[CH2;D2;+0:1]-[C:2]>>Br-[CH2;D2;+0:1]-[C:2].[#7;a:3]:[c:4]:[nH;D2;+0:5]:[c:6],1946
[C;D1;H3:2]-[c;H0;D3;+0:1]1:[cH;D2;+0:3]:[c;H0;D3;+0:4](-[C;D1;H3:5]):[n;H0;D3;+0:7](-[c;H0;D3;+0:8](:[c:9]):[c:10]):[n;H0;D2;+0:6]:1>>O=[C;H0;D3;+0:1](-[C;D1;H3:2])-[CH2;D2;+0:3]-[C;H0;D3;+0:4](=O)-[C;D1;H3:5].[NH2;D1;+0:6]-[NH;D2;+0:7]-[c;H0;D3;+0:8](:[c:9]):[c:10],1947
[#16;a:4]:[c:5]-[NH;D2;+0:6]-[C;H0;D3;+0:2](-[NH2;D1;+0:1])=[S;D1;H0:3]>>C-[Si](-C)(-C)-[N;H0;D2;+0:1]=[C;H0;D2;+0:2]=[S;D1;H0:3].[#16;a:4]:[c:5]-[NH2;D1;+0:6],1948
[#8:5]-[C:4](=[O;D1;H0:6])-[C:3]-[NH;D2;+0:1]-[C:2]>>C-C(-C)(-C)-O-C(=O)-[N;H0;D3;+0:1](-[C:2])-[C:3]-[C:4](-[#8:5])=[O;D1;H0:6],1949
[#8:6]-[C:5](=[O;D1;H0:7])-[C:4]-[S;H0;D4;+0:1](=[O;D1;H0:2])(=[O;D1;H0:3])-[NH;D2;+0:8]-[c:9]>>Cl-[S;H0;D4;+0:1](=[O;D1;H0:2])(=[O;D1;H0:3])-[C:4]-[C:5](-[#8:6])=[O;D1;H0:7].[NH2;D1;+0:8]-[c:9],1950
[#16;a:3]:[c;H0;D3;+0:4](-[CH;D2;+0:1]=[O;D1;H0:2]):[c:5]:[c:6]:[#7;a:7]>>C-N(-C)-[CH;D2;+0:1]=[O;D1;H0:2].[#16;a:3]:[cH;D2;+0:4]:[c:5]:[c:6]:[#7;a:7],1951
[#7;a:6]:[c:5]:[c:3](:[#8;a:4]):[c;H0;D3;+0:1](:[c:2])-[c;H0;D3;+0:7](:[c:8]):[c:9]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3](:[#8;a:4]):[c:5]:[#7;a:6].C-C1(-C)-O-B(-[c;H0;D3;+0:7](:[c:8]):[c:9])-O-C-1(-C)-C,1952
[C:3]-[S;H0;D2;+0:4]-[CH2;D2;+0:1]-[C:2]>>Br-[CH2;D2;+0:1]-[C:2].[C:3]-[SH;D1;+0:4],1953
[C:1]-[C@H;D3;+0:2](-[c:3])-[C@H;D3;+0:4](-[C:5])-[#7:6]-[C:7]=[O;D1;H0:8]>>[C:1]-[C;H0;D3;+0:2](-[c:3])=[C;H0;D3;+0:4](-[C:5])-[#7:6]-[C:7]=[O;D1;H0:8],1954
[c:4]:[c;H0;D3;+0:3](:[c:5])-[c;H0;D3;+0:2]1:[cH;D2;+0:1]:[s;H0;D2;+0:8]:[c;H0;D3;+0:7](-[c;H0;D3;+0:9](:[c:10]):[c:11]):[n;H0;D2;+0:6]:1>>Br-[CH2;D2;+0:1]-[C;H0;D3;+0:2](=O)-[c;H0;D3;+0:3](:[c:4]):[c:5].[NH2;D1;+0:6]-[C;H0;D3;+0:7](=[S;H0;D1;+0:8])-[c;H0;D3;+0:9](:[c:10]):[c:11],1955
[#7;a:5]:[c:4]:[c:3]:[c;H0;D3;+0:1](:[c:2])-[c;H0;D3;+0:6](:[c:7]):[c:8]:[#7;a:9]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3]:[c:4]:[#7;a:5].C-C1(-C)-O-B(-[c;H0;D3;+0:6](:[c:7]):[c:8]:[#7;a:9])-O-C-1(-C)-C,1956
[#7;a:6]:[c:7](:[#7;a:9]:[#7;a:10])-[O;H0;D2;+0:8]-[CH;D3;+0:1](-[C;D1;H3:2])-[C:3](-[#8:4])=[O;D1;H0:5]>>Br-[CH;D3;+0:1](-[C;D1;H3:2])-[C:3](-[#8:4])=[O;D1;H0:5].[#7;a:6]:[c:7](-[OH;D1;+0:8]):[#7;a:9]:[#7;a:10],1957
[C:2]-[CH2;D2;+0:1]-[c:3]>>O-[CH;D3;+0:1](-[C:2])-[c:3],1958
[C:5]-[C;H0;D3;+0:4](=[O;D1;H0:6])-[c;H0;D3;+0:1](:[c:2]):[c:3]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3].C-O-N(-C)-[C;H0;D3;+0:4](-[C:5])=[O;D1;H0:6],1959
[#8;a:1]:[c:2]:[c:3]-[CH;D3;+0:4](-[C:5])-[OH;D1;+0:6]>>[#8;a:1]:[c:2]:[c:3]-[C;H0;D3;+0:4](-[C:5])=[O;H0;D1;+0:6],1960
[#7;a:3]:[c:2]-[NH2;D1;+0:1]>>C-C(=O)-[NH;D2;+0:1]-[c:2]:[#7;a:3],1961
[C:1]-[NH;D2;+0:2]-[C;H0;D3;+0:3](=[O;D1;H0:4])-[NH;D2;+0:5]-[c:6]>>[C:1]-[N;H0;D2;+0:2]=[C;H0;D2;+0:3]=[O;D1;H0:4].[NH2;D1;+0:5]-[c:6],1962
[#7;a:2]:[c;H0;D3;+0:1](:[c:3])-[NH;D2;+0:5]-[C;D1;H3:4]>>F-[c;H0;D3;+0:1](:[#7;a:2]):[c:3].[C;D1;H3:4]-[NH2;D1;+0:5],1963
[C:2]-[CH;D3;+0:1](-[C;D1;H3:3])-[NH;D2;+0:5]-[C;D1;H3:4]>>O=[C;H0;D3;+0:1](-[C:2])-[C;D1;H3:3].[C;D1;H3:4]-[NH2;D1;+0:5],1964
[C;D1;H3:3]-[C:2](=[O;D1;H0:4])-[CH2;D2;+0:1]-[O;H0;D2;+0:5]-[c:6]>>Cl-[CH2;D2;+0:1]-[C:2](-[C;D1;H3:3])=[O;D1;H0:4].[OH;D1;+0:5]-[c:6],1965
[C:2]-[C;H0;D4;+0:1](-[C:3])(-[C:4])-[O;H0;D2;+0:7]-[C:6]=[O;D1;H0:5]>>O-[C;H0;D4;+0:1](-[C:2])(-[C:3])-[C:4].[O;D1;H0:5]=[C:6]-[OH;D1;+0:7],1966
[#7;a:5]:[#8;a:6]:[c:7]-[NH;D2;+0:8]-[S;H0;D4;+0:1](=[O;D1;H0:2])(=[O;D1;H0:3])-[c:4]>>Cl-[S;H0;D4;+0:1](=[O;D1;H0:2])(=[O;D1;H0:3])-[c:4].[#7;a:5]:[#8;a:6]:[c:7]-[NH2;D1;+0:8],1967
[#8:3]-[C:2]-[CH2;D2;+0:1]-[N;H0;D2;+0:4]=[#7;+:5]=[N;-;D1;H0:6]>>Br-[CH2;D2;+0:1]-[C:2]-[#8:3].[N-;H0;D1:4]=[#7;+:5]=[N;-;D1;H0:6],1968
[#7;a:8]:[c:7]1:[c:5](:[#7;a:6]):[#7;a:4]:[c:3]:[#7;a:2]:[c;H0;D3;+0:1]:1-[NH2;D1;+0:9]>>Cl-[c;H0;D3;+0:1]1:[#7;a:2]:[c:3]:[#7;a:4]:[c:5](:[#7;a:6]):[c:7]:1:[#7;a:8].[NH3;D0;+0:9],1969
[#16;a:4]:[c:3]-[C;H0;D3;+0:1](-[NH2;D1;+0:5])=[O;D1;H0:2]>>C-O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3]:[#16;a:4].[NH3;D0;+0:5],1970
[C:3]-[N;H0;D3;+0:4](-[C;D1;H3:5])-[CH2;D2;+0:1]-[C:2]>>Cl-[CH2;D2;+0:1]-[C:2].[C:3]-[NH;D2;+0:4]-[C;D1;H3:5],1971
[#7;a:5]:[c:4]:[c:3]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[N;H0;D3;+0:7](-[C;D1;H3:6])-[c:8]>>O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3]:[c:4]:[#7;a:5].[C;D1;H3:6]-[NH;D2;+0:7]-[c:8],1972
[C;D1;H1:3]#[C:4]-[C:5]-[N;H0;D3;+0:6](-[c:7])-[CH2;D2;+0:1]-[c:2]>>Br-[CH2;D2;+0:1]-[c:2].[C;D1;H1:3]#[C:4]-[C:5]-[NH;D2;+0:6]-[c:7],1973
